ts,track_id,side,x,y,conf,source
1780885442.147,1,R,412.7,566.9,0.207,low_conf_fused
1780885442.181,1,L,645.5,418.4,0.177,low_conf_fused
1780885442.181,1,R,412.2,566.8,0.207,low_conf_fused
1780885442.231,1,L,645.5,418.4,0.350,extrapolated
1780885442.231,1,R,411.5,566.8,0.350,extrapolated
1780885442.262,1,L,645.5,418.4,0.350,extrapolated
1780885442.263,1,R,411.0,566.7,0.350,extrapolated
1780885442.295,1,L,645.5,418.4,0.350,extrapolated
1780885442.295,1,R,410.5,566.7,0.350,extrapolated
1780885442.328,1,L,645.5,418.4,0.350,extrapolated
1780885442.328,1,R,410.0,566.7,0.350,extrapolated
1780885442.357,1,L,645.5,418.4,0.350,extrapolated
1780885442.357,1,R,409.6,566.7,0.350,extrapolated
1780885442.391,1,L,645.5,418.4,0.350,extrapolated
1780885442.391,1,R,409.1,566.6,0.350,extrapolated
1780885442.429,1,L,645.5,418.4,0.350,extrapolated
1780885442.429,1,R,408.5,566.6,0.350,extrapolated
1780885442.463,1,L,645.5,418.4,0.350,extrapolated
1780885442.463,1,R,408.0,566.5,0.350,extrapolated
1780885442.498,1,L,645.5,418.4,0.350,extrapolated
1780885442.498,1,R,407.5,566.5,0.350,extrapolated
1780885442.498,2,L,22.9,509.7,0.474,direct
1780885442.498,2,R,10.5,507.4,0.562,direct
1780885442.533,1,L,645.5,418.4,0.350,extrapolated
1780885442.533,1,R,407.0,566.5,0.350,extrapolated
1780885442.569,1,L,645.5,418.4,0.350,extrapolated
1780885442.569,1,R,406.5,566.4,0.350,extrapolated
1780885442.604,1,L,645.5,418.4,0.350,extrapolated
1780885442.604,1,R,406.0,566.4,0.350,extrapolated
1780885442.635,1,L,645.5,418.4,0.350,extrapolated
1780885442.635,1,R,405.5,566.4,0.350,extrapolated
1780885442.635,2,L,22.9,509.7,0.350,predicted
1780885442.636,2,R,10.5,507.4,0.350,predicted
1780885442.667,1,L,645.5,418.4,0.350,extrapolated
1780885442.667,1,R,405.0,566.3,0.350,extrapolated
1780885442.667,2,L,22.9,509.7,0.300,predicted
1780885442.667,2,R,10.5,507.4,0.300,predicted
1780885442.698,2,L,22.9,509.7,0.250,predicted
1780885442.698,2,R,10.5,507.4,0.250,predicted
1780885442.732,2,L,22.9,509.7,0.200,predicted
