ts,pid,side,x,y,conf,source
1780661701.511,0,R,503.9,461.6,0.991,direct
1780661701.564,0,L,577.3,429.4,0.986,direct
1780661701.564,0,R,504.0,461.6,0.991,direct
1780661701.602,0,L,577.8,429.7,0.986,direct
1780661701.602,0,R,504.0,461.1,0.990,direct
1780661701.643,0,L,577.5,429.6,0.987,direct
1780661701.643,0,R,504.0,461.5,0.991,direct
1780661701.693,0,L,577.2,429.5,0.987,direct
1780661701.693,0,R,503.9,461.8,0.991,direct
1780661701.738,0,L,577.2,429.5,0.987,direct
1780661701.738,0,R,503.8,461.6,0.991,direct
1780661701.773,0,L,577.3,429.5,0.987,direct
1780661701.773,0,R,503.8,461.8,0.991,direct
1780661701.814,0,L,577.4,429.5,0.987,direct
1780661701.814,0,R,503.8,462.0,0.991,direct
1780661701.864,0,L,577.4,429.5,0.988,direct
1780661701.864,0,R,503.9,462.2,0.991,direct
1780661701.896,0,L,577.4,429.5,0.988,direct
1780661701.897,0,R,504.0,462.3,0.991,direct
1780661701.937,0,L,577.5,429.4,0.988,direct
1780661701.937,0,R,504.3,462.2,0.992,direct
1780661701.987,0,L,577.6,429.4,0.988,direct
1780661701.987,0,R,504.5,462.2,0.992,direct
1780661702.034,0,L,577.5,429.5,0.987,direct
1780661702.034,0,R,504.4,462.4,0.991,direct
1780661702.069,0,L,577.5,429.6,0.987,direct
1780661702.069,0,R,504.3,462.6,0.991,direct
1780661702.114,0,L,577.5,429.6,0.987,direct
1780661702.114,0,R,504.4,462.3,0.991,direct
1780661702.157,0,L,577.5,429.5,0.987,direct
1780661702.157,0,R,504.5,462.1,0.991,direct
1780661702.191,0,L,577.6,429.3,0.987,direct
1780661702.191,0,R,504.5,462.2,0.991,direct
1780661702.227,0,L,577.7,429.4,0.987,direct
1780661702.227,0,R,504.6,462.0,0.991,direct
1780661702.271,0,L,577.6,429.3,0.987,direct
1780661702.271,0,R,504.5,461.8,0.991,direct
1780661702.316,0,L,577.6,429.3,0.987,direct
1780661702.316,0,R,504.4,461.7,0.991,direct
1780661702.354,0,L,577.6,429.1,0.986,direct
1780661702.354,0,R,504.5,461.4,0.991,direct
1780661702.387,0,L,577.6,428.9,0.986,direct
1780661702.387,0,R,504.6,461.2,0.991,direct
1780661702.423,0,L,577.6,428.8,0.987,direct
1780661702.423,0,R,504.4,461.2,0.990,direct
1780661702.473,0,L,577.6,428.8,0.987,direct
1780661702.473,0,R,504.2,461.2,0.990,direct
1780661702.507,0,L,577.7,428.9,0.987,direct
1780661702.507,0,R,504.3,461.2,0.991,direct
1780661702.542,0,L,577.9,429.0,0.987,direct
1780661702.542,0,R,504.3,461.3,0.991,direct
1780661702.580,0,L,577.9,429.1,0.986,direct
1780661702.580,0,R,504.4,461.2,0.990,direct
1780661702.614,0,L,578.0,429.2,0.986,direct
1780661702.614,0,R,504.5,461.2,0.990,direct
1780661702.651,0,L,577.7,429.1,0.986,direct
1780661702.651,0,R,504.4,461.4,0.990,direct
1780661702.694,0,L,577.6,429.3,0.987,direct
1780661702.694,0,R,504.2,461.7,0.991,direct
1780661702.730,0,L,577.5,429.4,0.987,direct
1780661702.730,0,R,504.1,461.9,0.991,direct
1780661702.767,0,L,577.7,429.3,0.987,direct
1780661702.767,0,R,504.2,461.6,0.991,direct
1780661702.801,0,L,577.9,429.3,0.987,direct
1780661702.801,0,R,504.3,461.3,0.991,direct
1780661702.848,0,L,577.8,429.2,0.987,direct
1780661702.848,0,R,504.2,461.4,0.991,direct
1780661702.884,0,L,577.7,429.2,0.987,direct
1780661702.884,0,R,504.3,461.6,0.991,direct
1780661702.921,0,L,577.6,429.2,0.987,direct
1780661702.921,0,R,504.3,461.7,0.991,direct
1780661702.972,0,L,577.5,429.2,0.987,direct
1780661702.972,0,R,504.2,461.5,0.991,direct
1780661703.009,0,L,577.4,429.1,0.987,direct
1780661703.009,0,R,504.1,461.4,0.991,direct
1780661703.051,0,L,577.1,428.9,0.987,direct
1780661703.051,0,R,504.0,461.6,0.991,direct
1780661703.086,0,L,576.9,428.8,0.987,direct
1780661703.086,0,R,504.0,461.7,0.991,direct
1780661703.122,0,L,576.7,428.6,0.986,direct
1780661703.122,0,R,504.0,461.8,0.990,direct
1780661703.158,0,L,576.9,428.7,0.987,direct
1780661703.158,0,R,504.1,461.8,0.991,direct
1780661703.203,0,L,577.0,428.7,0.987,direct
1780661703.204,0,R,504.1,461.7,0.991,direct
1780661703.240,0,L,577.1,429.0,0.987,direct
1780661703.240,0,R,504.2,462.0,0.990,direct
1780661703.286,0,L,577.3,429.2,0.987,direct
1780661703.286,0,R,504.3,462.3,0.990,direct
1780661703.330,0,L,577.1,429.0,0.986,direct
1780661703.330,0,R,504.4,462.0,0.991,direct
1780661703.366,0,L,577.0,428.9,0.986,direct
1780661703.366,0,R,504.5,461.7,0.991,direct
1780661703.406,0,L,576.7,426.6,0.989,direct
1780661703.406,0,R,507.3,466.6,0.993,direct
1780661703.443,0,L,576.3,428.1,0.987,direct
1780661703.443,0,R,504.6,462.3,0.991,direct
1780661703.488,0,L,576.3,428.4,0.987,direct
1780661703.488,0,R,504.5,462.2,0.991,direct
1780661703.524,0,L,577.1,427.8,0.988,direct
1780661703.524,0,R,506.6,467.0,0.992,direct
1780661703.564,0,L,577.4,427.6,0.988,direct
1780661703.564,0,R,506.6,467.2,0.992,direct
1780661703.603,0,L,577.5,427.7,0.989,direct
1780661703.603,0,R,507.3,467.4,0.993,direct
1780661703.645,0,L,576.5,427.8,0.986,direct
1780661703.645,0,R,504.5,461.7,0.990,direct
1780661703.686,0,L,576.0,427.9,0.986,direct
1780661703.686,0,R,504.4,461.6,0.990,direct
1780661703.719,0,L,576.1,428.2,0.986,direct
1780661703.719,0,R,505.2,461.3,0.990,direct
1780661703.753,0,L,576.2,428.3,0.986,direct
1780661703.753,0,R,505.3,461.2,0.990,direct
1780661703.804,0,L,576.1,428.5,0.988,direct
1780661703.804,0,R,504.9,461.0,0.991,direct
1780661703.848,0,L,576.1,428.5,0.988,direct
1780661703.848,0,R,504.7,460.9,0.991,direct
1780661703.881,0,L,576.0,428.3,0.986,direct
